Description,Question,Equation,Input Numbers,Output,numbers
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species,how many reptile species did she see ?,- number0 + number1 number2,532 253 143,136.0,3
to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .,how many kids in total can ride the school bus ?,* number0 number1,20 4,80.0,2
a grocery store had number0 bottles of regular soda and number1 bottles of diet soda .,how many bottles did they have total ?,+ number0 number1,49 35,84.0,2
roger had number0 new crayons number1 used crayons and number2 broken crayons .,how many crayons did roger have total ?,+ + number0 number1 number2,2 4 8,14.0,3
number0 boys went to water trees . there were number1 trees . if each of them watered the equal amount of trees,how many trees did each boy water ?,/ number1 number0,9 29,3.22222222222222,2
when they got there they saw that sfl is already filled with people . every entrance has a long line with number0 people waiting to get in . if sfl has number1 entrances,how many people in total are waiting to get in ?,* number0 number1,283 5,1415.0,2
mrs. hilt baked pies last weekend for a holiday dinner . she baked number0 pecan pies and number1 apples pies . if she wants to arrange all of the pies in rows of number2 pies each,how many rows will she have ?,/ + number0 number1 number2,16 14 5,6.0,3
in a video game each enemy defeated gives you number0 points . if a level has number1 enemies total and you destroy all but number2 of them,how many points would you earn ?,* - number1 number2 number0,3 6 2,12.0,3
a pallet of boxes weighed number0 kilograms . if there were number1 boxes on the pallet and each box weighed the same amount,how much did each weigh ?,/ number0 number1,267 3,89.0,2
martha bought number0 small cakes . she has number1 children . she would like to divide the cakes among her children so that each child gets the same amount .,how many cakes would each child get ?,/ number0 number1,18 3,6.0,2
a farmer planted number0 seeds on wednesday and another number1 seeds on thursday .,how many seeds did he plant total ?,+ number0 number1,20 2,22.0,2
number0 boys went down the slide . number1 more boys went down the slide .,how many boys went down the slide ?,+ number0 number1,22 13,35.0,2
for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of paint,how much more paint will he need ?,- - number0 number1 number2,70 23 36,11.0,3
roger was reading through his favorite book series . he had number0 books to read total . if he read number1 books each week,how many weeks would it take him to finish the series ?,/ number0 number1,30 6,5.0,2
alexa is reading a nancy drew mystery . there are number0 pages in her book . she read number1 pages the first day . the next day alexa just could n't stop reading . she read number2 pages .,how many pages does alexa have left to read ?,- - number0 number1 number2,95 18 58,19.0,3
victor had number0 books . during the book fair he bought number1 more .,how many books did victor have total ?,+ number0 number1,9 3,12.0,2
to make sure that the cake is sweet he needs number0 lbs . of sugar . if he has number1 lbs . of sugar stored in his house,how much additional sugar will he need ?,- number0 number1,450 287,163.0,2
the ski resort reported number0 inches of snow in january . they measured number1 inches of snow during the first week . they measured number2 inches of snow the second week .,how much snow did they get the rest of the month ?,- - number0 number1 number2,65 18 25,22.0,3
willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakery,how much more flour does he need to buy ?,- number0 number1,501 294,207.0,2
her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collection,how many did she send away ?,- number1 number0,15 78,63.0,2
billy had number0 lemon heads . if billy gave equal numbers of lemon heads to his number1 friends,how many lemon heads did each person eat ?,/ number0 number1,72 6,12.0,2
for halloween will got number0 pounds of candy . after giving some to haley he had number1 pounds left .,how many pounds did he give to haley ?,- number0 number1,15 9,6.0,2
a shoe store was having a back to school sale where you could buy number0 pairs of shoes for $ number1 . if a large family decided to buy number2 pairs of shoes,how much would it cost them ?,* / number1 number0 number2,2 23.10 7,80.85,3
bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?,- number0 number1,50 20,30.0,2
beryl has number0 radishes . she puts them into number1 baskets . if there are number2 radishes in the first basket,how many more radishes are there in the second basket than the first ?,- number0 * number2 number1,88 2 37,14.0,3
richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score .,what was bruno 's score ?,- number0 number1,62 14,48.0,2
it is harvest season in the country . lewis whose family owns a fruit farm is busy overseeing their farmers while they are harvesting the fruits . his day starts by going to the apple orchard . the farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,how many apples are harvested every day ?,* number0 number1,45 8,360.0,2
allen charles lex and shiela spent days reading books for their book report . the texts were printed very small so they were only able to cover very few pages a day . allen read about the solar system . he read number0 pages a day of a book which has number1 pages .,how many days did it take allen to finish reading the book ?,/ number1 number0,10 120,12.0,2
megan had number0 bottles of water . if she drank number1 of them,how many bottles would megan have left ?,- number0 number1,17 3,14.0,2
a waiter at 'the greasy spoon ' restaurant had number0 customers to wait on . during the lunch rush he added another number1 customers . if number2 of the customers did n't leave him a tip,how many customers did leave a tip ?,- + number0 number1 number2,39 12 49,2.0,3
the cafeteria had number0 apples . for lunch they handed out number1 to students and decided to use the rest to make pies . if each pie takes number2 apples,how many pies could they make ?,/ - number0 number1 number2,51 41 5,2.0,3
janice has number0 bottle caps that must be put away in boxes . douglas comes to help and brings number1 cookies to share with janice . if there are number2 boxes,how many bottle caps must go in each box ?,/ number0 number2,316 17 79,4.0,2
kendra took a road trip . in the afternoon she saw number0 minivans like hers . later in the evening she saw number1 more minivan like hers .,how many minivans like hers did she see in all ?,+ number1 number0,4 1,5.0,2
sarah is making bead necklaces . she has number0 beads and is making number1 necklaces with each necklace using the same number of beads .,how many beads will each necklace use ?,/ number0 number1,945 7,135.0,2
megan gave number0 acorns to her sister . now megan has number1 acorns left .,how many acorns did megan have in the beginning ?,+ number0 number1,7 9,16.0,2
a pet store took number0 birds out of a cage and had number1 still left inside .,how many birds were in the cage to start with ?,+ number0 number1,10 9,19.0,2
at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back .,how many students were there total ?,+ * number0 number1 number2,4 8 9,41.0,3
for a party adam bought number0 cupcakes . if number1 were eaten,how many cupcakes would adam have left ?,- number0 number1,97 58,39.0,2
there were number0 kids on the soccer field . number1 kids decided to join in .,now how many kids are on the soccer field ?,+ number0 number1,14 22,36.0,2
an airline lets each passenger take number0 pieces of luggage . if there were number1 people flying,how many bags could they take ?,* number0 number1,8 4,32.0,2
chloe and her friends were recycling paper for their class . for every number0 pounds they recycled they earned number1 point . if chloe recycled number2 pounds and her friends recycled number3 pounds,how many points did they earn ?,/ + number2 number3 number0,6 1 28 2,5.0,3
beth has number0 crayons . she gives number1 of them away to jen .,how many crayons does beth have left ?,- number0 number1,106 54,52.0,2
maria stored number0 cloves of garlic in the kitchen . she used number1 for roast chicken for dinner .,how many cloves of garlic does she have left ?,- number0 number1,93 86,7.0,2
at a restaurant each adult meal costs $ number0 and kids eat free . if a group of number1 people came in and number2 were kids,how much would it cost for the group to eat ?,* - number1 number2 number0,8 11 2,72.0,3
it 's getting dark so he decided to take number0 last stop . he took a cab to the metropolitan museum of art . if he saw number1 pieces of asian art and number2 pieces of egyptian art,how many pieces of art did he see ?,+ number1 number2,1 465 527,992.0,2
connie has number0 marbles . juan has number1 more marbles than connie .,how many marbles does juan have ?,+ number0 number1,323 175,498.0,2
number0 students split number1 portfolios of paintings . each student should get the same number of portfolios .,how many portfolios of paintings will each of them get ?,/ number1 number0,15 122,8.13333333333333,2
tom already had number0 pieces of candy . his friend gave him number1 more and then tom bought another number2 how,many pieces does tom have now ?,+ + number0 number1 number2,2 7 10,19.0,3
shirley sold number0 boxes of trefoils .,how many cases of number1 boxes does shirley need to deliver ?,/ number0 number1,54 6,9.0,2
jake set up a candy stand in his front yard . he has number0 pieces of candy to sell . he sold number1 pieces of candy on monday . he sold much more than that on tuesday . by wednesday jakes only had number2 pieces left .,how many pieces of candy did jake sell on tuesday ?,- - number0 number1 number2,80 15 7,58.0,3
megan has number0 seashells .,how many more seashells does she need to find to have number1 seashells in her collection ?,- number1 number0,19 25,6.0,2
in the first half of a trivia game kaleb scored number0 points . in the second half he scored number1 points .,how many points did he score total ?,+ number0 number1,43 23,66.0,2
brenda 's mother made cookies for number0 . if she prepared number1 cookies and each of them had the same number of cookies,how many did each of them have ?,/ number1 number0,5 35,7.0,2
paige raised number0 goldfish in the pond but stray cats loved eating them . now she has number1 left .,how many goldfish disappeared ?,- number0 number1,15 4,11.0,2
adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks .,how many did he have to add ?,- number1 number0,35 65,30.0,2
the zookeeper has number0 fish to feed to the penguins . number1 penguins have already gotten a fish . the zoo has number2 penguins .,how many more penguins need to get a fish ?,- number2 number1,68 19 36,17.0,2
at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1,how many more grains are needed to be gathered ?,- number0 number1,911 762,149.0,2
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?,* number0 number1,4 3,12.0,2
faye was placing her pencils into rows with number0 pencils in each row . if she had number1 pencils,how many rows could she make ?,/ number1 number0,8 32,4.0,2
connie had some marbles . she gave number0 to juan . now she has number1 marbles left .,how many did she have to start with ?,+ number1 number0,183 593,776.0,2
a mirror store has number0 mirrors in stock . number1 mirrors are broken and number2 mirrors are sold .,how many mirrors are left ?,- - number0 number1 number2,78 8 57,13.0,3
a chef had number0 apples . after making some pies he had number1 left .,how many apples did he use ?,- number0 number1,46 14,32.0,2
olivia was collecting cans for recycling . she had number0 bags with number1 cans inside each bag .,how many cans did she have ?,* number0 number1,4 5,20.0,2
carla has some marbles . she bought number0 marbles . now she has number1 marbles .,how many did she start with ?,- number1 number0,134 187,53.0,2
since the result of the vote was close it was decided that they will balance the menu with both meat and vegetables . this decision was agreed upon by number0 third grade students and number1 number2 grade students .,how many students agreed with the decision ?,+ number0 number1,154 237 4,391.0,2
at lunch a waiter had number0 customers and number1 of them did n't leave a tip . if he got $ number2 each from the number3 who did tip,how much money did he earn ?,* - number0 number1 number2,10 5 3 1,15.0,3
dan 's high school played number0 baseball games this year and number1 were at night . the team won most of their games . they were defeated during number2 games .,how many games did they win ?,- number0 number2,18 2 3,15.0,2
december is a busy month for the toy store . they had number0 games on the shelf . number1 games were sold the first week . the store got number2 more games from the factory .,how many games did they have then ?,+ - number0 number1 number2,95 68 47,74.0,3
jerry was selling his old games . he started out with number0 but sold number1 of them . he packed the rest up putting number2 games into each box .,how many boxes did he have to use ?,/ - number0 number1 number2,68 4 8,8.0,3
there were number0 people on the train . at the next stop number1 people got off .,how many people are there on the train now ?,- number0 number1,58 45,13.0,2
the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left .,how many slices of pizza did the team eat ?,- number1 number2,2 32 7,25.0,2
kelly has number0 nintendo games .,how many does she need to give away so that she will have number1 games left ?,- number0 number1,121 22,99.0,2
amy had number0 video games . if she placed the games into number1 different stacks,how many games would be in each stack ?,/ number0 number1,180 9,20.0,2
harry hound had a terrible earache yesterday . when i peered into his ears yesterday i found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . i cleaned out harry hound 's ears .,how many fleas perished ?,+ number0 number1,36 85,121.0,2
the first act included number0 clown mobiles each stuffed with number1 clowns .,how many clowns are inside all the clown mobiles combined ?,* number0 number1,5 28,140.0,2
the ferris wheel in paradise park has number0 seats . each seat can hold number1 people .,how many people can ride the ferris wheel at the same time ?,* number0 number1,14 6,84.0,2
julian is writing a comic book . his story has number0 frames in all . if he wants to put exactly number1 frames on each page,how many pages would he have ?,/ number0 number1,143 11,13.0,2
there were number0 girls and number1 boys trying out for the schools basketball team . if only number2 of them got called back,how many students did n't make the cut ?,- + number0 number1 number2,17 32 10,39.0,3
dave had number0 apps on his phone . after deleting some he had number1 left .,how many apps did he delete ?,- number0 number1,16 8,8.0,2
at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .,how many different kinds of birds did the children see from the bird cages ?,* number0 number1,5 8,40.0,2
carol had number0 pieces of paper in her folder . after a week she had number1 left .,how many pieces did she use in the week ?,- number0 number1,81 38,43.0,2
scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books .,how many comic books did scott and sam sell ?,- number0 number1,90 25,65.0,2
isabel had some candy . she gave her friend number0 pieces and had number1 left .,how many pieces did she have to start with ?,+ number0 number1,27 61,88.0,2
another region was the aquatic reserve for freshwater organisms . if there are number0 bodies of water in the region each having number1 different fishes,how many fishes does he have in total ?,* number0 number1,6 175,1050.0,2
katie had number0 pencils in her desk and number1 more in her backpack .,how many did she have total ?,+ number0 number1,12 3,15.0,2
at the end of the cave they found a golden chest . if the chest contains number0 diamonds and number1 rubies,how many more diamonds are there than rubies ?,- number0 number1,421 377,44.0,2
adam picked number0 strawberries . after eating some he had number1 left .,how many strawberries did adam eat ?,- number0 number1,35 33,2.0,2
albert is inviting number0 friends to a party . he has number1 cookies .,how many cookies will each friend get ?,/ number1 number0,34 1802,53.0,2
at the arcade dave had won number0 tickets . if he used number1 to buy some toys,how many tickets did dave have left ?,- number0 number1,13 6,7.0,2
tom had number0 pieces of clothing to wash. he put number1 of them in number2 load but decided to split the rest into number3 equal loads .,how many pieces of clothing could go in each of the small loads ?,/ - number0 number1 number3,36 18 1 2,9.0,3
victor had number0 apps on his phone . he deleted number1 of them .,how many apps does victor have left ?,- number0 number1,19 8,11.0,2
john has number0 shirts . later he bought number1 more shirts .,how many shirts does john have total ?,+ number0 number1,12 4,16.0,2
maura collects seashells every summer . her family stays at the beach house for number0 days . this summer maura found number1 seashells . she gave some to her little sister . maura then had number2 seashells .,how many seashells did maura give to her sister ?,- number1 number2,21 75 57,18.0,2
keith has number0 marbles and number1 pencils . if he shares the marbles among number2 friends,how many marbles does each friend get ?,/ number0 number2,5530 3 79,70.0,2
a mailman has to give out number0 pieces of junk mail . if he goes to number1 blocks,how many pieces of junk mail should he give each block ?,/ number0 number1,192 4,48.0,2
debby makes number0 pancakes . she adds blueberries to number1 of them and bananas to number2 of them . the rest are plain .,how many plain pancakes are there ?,- - number0 number1 number2,67 20 24,23.0,3
tiffany was buying hand towels for her house . she bought number0 packs with each pack having number1 towels in it .,how many towels did she buy ?,* number0 number1,9 3,27.0,2
mrs. hilt saw a rollercoaster . number0 students rode the rollercoaster every number1 minutes .,how many students rode the rollercoaster in number2 minutes ?,* number0 / number2 number1,7 5 15,21.0,3
carol was helping her mom plant vegetables in the garden . together they planted number0 rows of potatoes with number1 seeds in each row .,how many potatoes did they plant total ?,* number0 number1,6 9,54.0,2
during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,about how many kids are in lawrence county ?,+ number0 number1,564237 495718,1059955.0,2
a chef only had number0 apples so he ordered number1 more bags . if each bag has number2 apples,how many apples does he have total ?,+ * number1 number2 number0,3 2 9,21.0,3
brenda betty 's sister wanted to have number0 bracelets with star-shaped stones . she also bought number1 star-shaped stones from the local store and gave it to betty .,how many star-shaped stones will there be in each of the bracelet betty makes for brenda ?,/ number1 number0,3 36,12.0,2
they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 people,how many people can the tent accommodate in total ?,* number0 number1,4 246,984.0,2
while exercising paul did number0 push-ups in the morning and number1 more in the afternoon .,how many push-ups did paul do total ?,+ number0 number1,59 38,97.0,2
luke had number0 dollars in january . by march he had spent number1 dollars . if he got another number2 dollars from his mom,how much money would he have ?,+ - number0 number1 number2,48 11 21,58.0,3
a pet store was selling mice number0 for $ number1 . if they ended up selling number2 mice,how much money would they have earned ?,* / number1 number0 number2,2 5.34 7,18.69,3
when relatives visit haley and her family she and her cousins do origami . if she has number0 origami papers to give away to her number1 cousins,how many will each receive if she gives everyone the same number of origami papers ?,/ number0 number1,48 6,8.0,2
matt and his friends were thinking of making christmas decors for the clubhouse in their neighborhood . they are to repaint number0 balls in number1 different colors . if they painted an equal number of balls for every color,how many balls are there for each color ?,/ number0 number1,350 10,35.0,2
upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2,how many cookies were eaten in total ?,+ + number0 number1 number2,15 10 5,30.0,3
pinky the pig bought number0 apples while danny the duck bought number1 how,many apples do they have altogether ?,+ number0 number1,36 73,109.0,2
it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden .,how many eggs were hidden in total ?,+ + number0 number1 number2,55 33 22,110.0,3
nancy picked number0 carrots from her garden . if she threw out number1 of them and then picked number2 more the next day,how many carrots would she have total ?,+ - number0 number1 number2,12 2 21,31.0,3
lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the second,how much did she donate to the third ?,- number0 + number2 number3,800.00 3 300.00 238.00,262.0,3
jesse 's room is number0 feet long and number1 feet wide .,how much carpet does she need to cover the whole floor ?,* number0 number1,12 8,96.0,2
being his favorite he saved checking on the grapevines for his last stop . he was told by number0 the pickers that they fill number1 drums of grapes per day .,how many drums of grapes would be filled in number2 days ?,* number1 number2,1 324 9,2916.0,2
a teacher had number0 worksheets to grade . if she graded number1 but then another number2 were turned in,how many worksheets would she have to grade ?,+ - number0 number1 number2,38 4 15,49.0,3
catherine has number0 bottle caps and number1 blocks . if she shares the bottle caps among number2 friends,how many bottle caps does each friend get ?,/ number0 number2,18 19 6,3.0,2
there are number0 pigs in the barn . some more come to join them . now there are number1 pigs .,how many pigs came to join them ?,- number1 number0,64 86,22.0,2
emily is making bead necklaces for her friends . she has number0 beads and each necklace takes number1 beads .,how many necklaces can emily make ?,/ number0 number1,28 7,4.0,2
a chef used number0 cherries to make a pie . now he has number1 cherries left .,how many cherries did he have before he made the pie ?,+ number0 number1,39 58,97.0,2
after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells,how many shells are not red or green ?,- number0 + number1 number2,291 76 49,166.0,3
there are number0 birds and number1 nests .,what 's the difference of the number of birds and nests over there ?,- number0 number1,6 3,3.0,2
gino has number0 popsicle sticks . i have number1 popsicle sticks .,what is the sum of our popsicle sticks ?,+ number0 number1,63 50,113.0,2
jerry 's freezer had number0 ice cubes in it . if he had to get ice for number1 cups,how many pieces should he put in each cup to make them have the same amount ?,/ number0 number1,30 6,5.0,2
joan is baking a cake . the recipe calls for number0 cups of flour . she already put in number1 cups .,how many more cups does she need to add ?,- number0 number1,7 3,4.0,2
lukas averages number0 points per game in basketball .,how many points would he score in number1 games ?,* number0 number1,12 5,60.0,2
marian also baked oatmeal cookies for her classmates . if she can place number0 cookies on a tray at a time,how many trays will she need to prepare number1 oatmeal cookies at a time ?,/ number1 number0,12 276,23.0,2
tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's back pack weighs number2 pounds less . they hiked number3 miles the first day .,how many miles do they have left ?,- number0 number3,36 25 7 9,27.0,2
after giving out clothes he invited the homeless to the nearest soup kitchen to give them a proper meal . if he fed number0 men and number1 women,how many homeless people was he able to feed ?,+ number0 number1,219 328,547.0,2
alyssa had number0 cookies . aiyanna has number1 what,'s the difference of the number of alyssa 's cookies and aiyanna 's cookies ?,- number1 number0,129 140,11.0,2
we ordered number0 pizzas . each pizza has number1 slices .,how many slices of pizza are there altogether ?,* number0 number1,21 8,168.0,2
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 each,how much money did bryan get in total ?,* number0 number1,8 1785.00,14280.0,2
mrs. sheridan has number0 cats . mrs. garrett has number1 cats .,what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?,- number1 number0,11 24,13.0,2
the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums,how many chewing gums did the number3 have in all ?,+ + number0 number1 number2,5 10 15 3,30.0,3
number0 ducks are swimming in a lake . number1 more ducks come to join them .,how many ducks are swimming in the lake ?,+ number0 number1,13 20,33.0,2
third-grade students went to a concert in number0 buses . each bus took number1 students .,how many students went to the concert ?,* number0 number1,8 45,360.0,2
oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . if he had only washed number2 of them by the time school started,how many did he not wash ?,- + number0 number1 number2,39 47 20,66.0,3
there were number0 dollars in olivia 's wallet . after she visited a supermarket there were number1 dollars left .,how much did she spend ?,- number0 number1,94 78,16.0,2
emily was selling some of her old toys at a garage sale . she started out with number0 toys and sold number1 of them .,how many does she have left ?,- number0 number1,7 3,4.0,2
each table in a break room can seat number0 people . if the break room has number1 tables,how many people can sit in there ?,* number0 number1,8 4,32.0,2
at the top of the empire state building he saw the madison square garden so he decided to go there as well . it took him number0 steps to get down the building and number1 steps from the building to madison square garden .,how many steps did he take to get to madison square ?,+ number0 number1,676 315,991.0,2
i have number0 pencils . if i put number1 pencils in each pencil box,how many pencil boxes will i fill ?,/ number0 number1,648 4,162.0,2
tiffany was sending out birthday invitations to her friends . she sent out number0 on monday and number1 on tuesday .,how many did she send total ?,+ number0 number1,9 8,17.0,2
miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls .,how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?,- number0 number1,4 3 7,1.0,2
the library has number0 science books . the second graders borrowed number1 of them .,how many science books are left ?,- number0 number1,75 18,57.0,2
it is number0 miles to grandma 's house . mr. welch drove number1 miles . he stopped to buy a pie for dessert . then he drove number2 miles and stopped to put gas in the car .,how many more miles until he reaches grandma 's house ?,- - number0 number1 number2,78 35 18,25.0,3
connie saved up $ number0 . she wants to buy a watch that costs $ number1 .,how much more money does connie need ?,- number1 number0,39 55,16.0,2
at a bus stop number0 people got off the bus . now there were number1 people on the bus .,how many people were on the bus before ?,+ number0 number1,47 43,90.0,2
lenny has $ number0 . he spent $ number1 on video games and $ number2 at the grocery store .,how much does lenny have left ?,- - number0 number1 number2,84 24 21,39.0,3
anthony gets number0 cents every day for lunch . he bought a juice box for number1 cents . he also bought a cupcake . anthony had number2 cents left .,how much did the cupcake cost ?,- - number0 number1 number2,75 27 8,40.0,3
the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies .,how many candies did she get in total ?,+ + number0 number1 number2,10 15 20,45.0,3
if you had number0 bags of cookies with number1 cookies in each bag,how many cookies would you have ?,* number0 number1,37 19,703.0,2
with the end of the month coming in number0 days they decided to sell cookies to the neighboring villages as well . if they sold number1 packs on number2 village and number3 on the other,how many cookies were they able to sell in the other villages ?,+ number1 number3,2 23 1 28,51.0,2
mike got number0 gb of space on his disk drive to backup his files . if his files would take up number1 gb,how many gb would he have left ?,- number0 number1,28 26,2.0,2
a number machine changes the value of the numbers placed inside it . my number machine will add number0 to a number and then subtract number1 from the sum . if i put in the number number2,what number will come out of the machine ?,- + number2 number0 number1,15 6 68,77.0,3
at a farming supply store number0 pounds of seed cost $ number1 . if a farmer needed number2 pounds of seeds,how much would it cost him ?,* / number1 number0 number2,2 44.68 6,134.04,3
jennifer has an number0 cm long ribbon . she uses number1 cm of the ribbon to tie a present for her friend and number2 cm of the ribbon to make a bow .,how much of the ribbon is left in the end ?,- - number0 number1 number2,87 24 45,18.0,3
mary is baking a cake . the recipe calls for number0 cups of flour and number1 cups of sugar . she already put in number2 cups of flour .,how many more cups of flour does she need to add ?,- number0 number2,9 3 2,7.0,2
the host prepared number0 cakes for the party . after the party he had number1 left .,how many cakes did people eat in the party ?,- number0 number1,19 9,10.0,2
for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathers,how many feathers are needed for number1 crowns ?,* number0 number1,7 934,6538.0,2
nancy was buying soap for her bathroom . she bought number0 packs with each pack having number1 bars .,how many bars of soap did she buy ?,* number0 number1,6 5,30.0,2
while organizing her files bianca deleted number0 pictures number1 songs and number2 text files .,what is the total number of files she deleted ?,+ + number0 number1 number2,2 8 7,17.0,3
edward earned number0 dollars for every lawn he mowed . if he mowed number1 lawns and he already had number2 dollars saved up,how much money does he have total ?,+ * number1 number0 number2,8 5 7,47.0,3
cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left .,how many cups did cheryl and lori use ?,- number0 number1,85 18,67.0,2
on the last day of school only number0 students showed up . if number1 of them were checked out early,how many students were left ?,- number0 number1,16 7,9.0,2
when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave her,how much money in total did she spend on buying groceries ?,- number1 number0,27.00 100.00,73.0,2
there are number0 squirrels in a tree with number1 nuts .,what 's the difference of the number of squirrels and nuts over there ?,- number0 number1,4 2,2.0,2
an ice company charged $ number0 for number1 bags of ice . if a convenience store bought number2 bags of ice,how much would it have cost them ?,* / number0 number1 number2,1.46 2 4,2.92,3
there are number0 bottle caps in terry 's bottle cap collection . if the bottle caps are organized into number1 groups,how big is each group ?,/ number0 number1,560 80,7.0,2
for the final touches john wanted to paint the house using the number0 primary colors . if he has number1 liters of paint for each color,how many liters of paint does he have in all ?,* number0 number1,3 5,15.0,2
there are number0 students in the class and number1 skittles . if the skittles are divided equally among the students,how many does each student get ?,/ number1 number0,9 27,3.0,2
last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales .,how many species was penny able to identify ?,+ + number0 number1 number2,35 15 5,55.0,3
while playing a game sam had number0 points . if he scored another number1 points,how many points would he have total ?,+ number0 number1,92 3,95.0,2
there were number0 geese in the farmer 's field . number1 of the geese flew away .,how many geese were left in the field ?,- number0 number1,51 28,23.0,2
olivia had number0 pieces of paper in her folder . she used number1 pieces .,how many pieces does she have now ?,- number0 number1,81 56,25.0,2
for lunch number0 students selected chocolate milk number1 selected strawberry milk and number2 selected regular milk .,how many milks were taken total ?,+ + number0 number1 number2,2 15 3,20.0,3
mrs. hilt had number0 marbles . she lost number1 of them .,how many marbles does she have left ?,- number0 number1,38 15,23.0,2
after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost $ number0 and he was able to get a $ number1 discount,how much did he actually spend on buying the plants ?,- number0 number1,467.00 399.00,68.0,2
edward started his own lawn mowing business . in the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . if he had to spend number2 dollars buying supplies,how much money did he end up with ?,- + number0 number1 number2,2 27 5,24.0,3
number0 birds were sitting in a tree . number1 more birds flew up to the tree .,how many birds were there altogether in the tree ?,+ number0 number1,179 38,217.0,2
rebecca wants to split a collection of eggs into groups of number0 rebecca has number1 eggs and number2 marbles .,how many groups will be created ?,/ number1 number0,2 16 3,8.0,2
faye and her mom were picking carrots from their garden . faye picked number0 and her mother picked number1 if only number2 of the carrots were good,how many bad carrots did they have ?,- + number0 number1 number2,23 5 12,16.0,3
sarah could send number0 text messages a day . if she sent number1,how many text messages does she have left she can send ?,- number0 number1,10 8,2.0,2
at the town carnival billy rode the ferris wheel number0 times and the bumper cars number1 times . if each ride cost number2 tickets,how many tickets did he use ?,* + number0 number1 number2,7 3 5,50.0,3
if tom plans to fix number0 watches at the rate of number1 watches per day,how many days does he need to fix the watches ?,/ number0 number1,158 12,13.1666666666667,2
mrs. hilt needs to share $ number0 equally among number1 total people .,how much money will each person get ?,/ number0 number1,3.75 3,1.25,2
paige 's dresser drawers could hold number0 pieces of clothing each . if she had number1 drawers,how many pieces of clothing could it hold ?,* number0 number1,2 4,8.0,2
rachel baked some brownies . she brought number0 brownies to school that day . she left number1 brownies at home .,how many brownies did rachel bake ?,+ number0 number1,16 24,40.0,2
cody had number0 old video games he wanted to get rid of . if he gave his friend number1 of the games,how many does he still have ?,- number0 number1,9 4,5.0,2
robin bought number0 sodas for her and her friends . if they only drank number1 of them,how many extras did she have ?,- number0 number1,11 3,8.0,2
